"Asus H61M-E (LGA1155, Intel H61, DDR3)","910000"
"Asus H61M-C (LGA1155, Intel H61, DDR3)","960000"
"Biostar IH61MF (LGA1155, Intel H61, DDR3, USB2.0)","903000"
"CARDEX LGA1155 H61 (LGA1155, Intel H61, DDR3)","560000"
"Digital Alliance IGH61-MA-V2 (LGA1155, Intel H61, DDR3)","675000"
"ECS H61H2-MV (LGA1155, Intel H61, DDR3)","1020000"
"Gigabyte GA-H61M-DS2 (LGA1155, H61, DDR3)","1080000"
"MSI H61M-P20 (LGA1155, Intel H61, DDR3) (By WPG)","756000"
"MSI H61M-P31/W8 (LGA1155, Intel H61, DDR3) (By WPG)","825000"
"MSI H61M-P32/W8 LPT (LGA1155, Intel H61, DDR3) (By WPG)","900000"
"VenomRX Intel H61 (LGA1155, Intel H61, DDR3)","575000"
"Xtreme H61 (LGA155, H61, DDR3)","620000"
