"ASRock Fatal1ty X299 Gaming K6 (LGA2066, X299, DDR4)","4250000"
"Asus PRIME X299-A (LGA 2066, X299, DDR4)","5545000"
"Asus ROG STRIX X299-E Gaming (LGA2066, X299, DDR4)","5875000"
"Asus TUF X299 Mark 1 (LGA2066,X299,DDR4)","6150000"
"Asus Workstation X299 PRO WS (LGA2066, X299, DDR4)","7600000"
"Asus ROG RAMPAGE VI APEX (LGA 2066, X299, DDR4)","8000000"
"Asus PRIME X299 Deluxe (LGA2066, X299, DDR4)","8250000"
"Asus PRIME X299 Deluxe II (LGA2066, X299, DDR4)","8550000"
"Asus Workstation X299 SAGE WS (LGA2066, X299, DDR4)","9200000"
"Asus ROG RAMPAGE VI Extreme Omega (LGA 2066, X299, DDR4)","12050000"
"Gigabyte X299 Aorus Master (LGA 2066, X299, DDR4)","6575000"
"Gigabyte X299 Designare EX (LGA 2066, X299, DDR4)","7870000"
"Gigabyte X299-WU8 (LGA 2066, X299, DDR4)","8990000"
