"Biostar B450MHC (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","989000"
"Biostar B350ET2 (AM4, AMD Promontory B350, DDR4, USB3.1, SATA3)","1004000"
"Biostar TB350-BTC (AM4, AMD Promontory B350, DDR4, USB3.1, SATA3)","1032000"
"Biostar X470MH (AM4, AMD Promontory X470, DDR4, USB3.1, SATA3)","1076000"
"Biostar Racing B450GT3 (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1162000"
"Biostar TB350-BTC (AM4, AMD Promontory B350, DDR4, USB3.1, SATA3) - Bundled Riser 6Pcs","1306000"
"Biostar B350GT5 (AM4, AMD Promontory B350, DDR4, USB3.1, SATA3)","1349000"
"Biostar X470GTQ (AM4, AMD Promontory X470, DDR4, USB3.1, SATA3)","1364000"
"Biostar X370GT3 (AM4, AMD Promontory X370, DDR4, USB3.1, SATA3)","1594000"
"Biostar X370GT5 (AM4, AMD Promontory X370, DDR4, USB3.1, SATA3)","1882000"
"Biostar X370GT7 (AM4, AMD Promontory X370, DDR4, USB3.1, SATA3)","2433000"
"Biostar Racing X470GT8 (AM4, AMD Promontory X470, DDR4, USB3.1, SATA3)","2966000"
"ECS A320AM4-M3 (AM4, AMD Promontory A320, DDR4, SATA3)","750000"
"ECS B350AM4-M2 (AM4, AMD Promontory B350, DDR4, USB3.0, SATA3)","1035000"
"Gigabyte GA-A320M-S2H (AM4, AMD Promontory A320, DDR4, USB3.1, SATA3)","805000"
"Gigabyte GA-A320M-S2H-V2 (AM4, AMD Promontory B350, DDR4, USB3.1, SATA3)","849000"
"Gigabyte B450M S2H (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1149000"
"Gigabyte B450M DS3H (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1320000"
"Gigabyte B450M Gaming (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1345000"
"Gigabyte B450 Aorus M (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1665000"
"Gigabyte B450 Aorus Elite (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1949000"
"Gigabyte B450 Aorus Pro (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","2210000"
"Gigabyte B450 Aorus Pro Wifi (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","2320000"
"Gigabyte B450 I Aorus Pro Wifi (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","2370000"
"Gigabyte X470 Aorus Gaming 5 Wifi (AM4, AMD Promontory X470, DDR4, USB3.1, SATA3)","2993000"
"Gigabyte X470 Aorus Ultra Gaming (AM4, AMD Promontory X470, DDR4, USB3.1, SATA3)","2998000"
"Gigabyte X570 UD (AM4, AMD Premium X570, DDR4, USB3.2, SATA3)","3310000"
"Gigabyte X470 Aorus Gaming 7 Wifi (AM4, AMD Promontory X470, DDR4, USB3.1, SATA3)","3875000"
"Gigabyte X570 Aorus Elite (AM4, AMD Premium X570, DDR4, USB3.2, SATA3)","3899000"
"Gigabyte X570 I Aorus Pro Wifi (AM4, AMD Premium X570, DDR4, USB3.2, SATA3)","4315000"
"Gigabyte X570 Aorus Ultra (AM4, AMD Premium X570, DDR4, USB3.2, SATA3)","5620000"
"Gigabyte X570 Aorus Master (AM4, AMD Premium X570, DDR4, USB3.2, SATA3)","6880000"
"Gigabyte X570 Aorus Xtreme (AM4, AMD Premium X570, DDR4, USB3.2, SATA3)","11720000"
"MAXSUN MS-A320M Challenger Series (AM4, A320, DDR4, USB3, VGA+DVI+HDMI, M.2, Gigabit 1000 Mbps Gaming Network card)","735000"
"MAXSUN MS-A320D4 Turbo (AM4, A320, DDR4, M.2, USB 3.1, VGA+DVI+HDMI, Gigabit LAN)","750000"
"MAXSUN MS-B350D4 Turbo (AM4, B350, DDR4, Slot M.2, USB 3.1, Hi-Fi Audio)","970000"
"MAXSUN MS-Challenger B350M (AM4 Raven Ridge, B350, DDR4, Slot M.2, VGA+DVI+HDMI, Gigabit)","1050000"
"MAXSUN MS-B350FX Gaming Pro (AM4, B350, DDR4, 3 Slot VGA PCI-E , 2 Slot M.2, USB 3.1, Hi-Fi Audio)","1180000"
"MSI A320M Pro VD/S (AM4, AMD Promontory A320, DDR4, USB3.1, SATA3)","737000"
"MSI A320M Pro M2 (AM4, AMD Promontory A320, DDR4, USB3.1, SATA3)","785000"
"MSI B450M Pro-M2 V2 (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1079000"
"MSI B450M Pro VDH Plus (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1225000"
"MSI B450M Pro VDH MAX (AM4, AMD Promontory B450, DDR4, USB3.2, SATA3)","1249000"
"MSI B450M Gaming Plus (AM4, AMD Promontory B450, DDR4, USB3.1, SATA3)","1339000"
