('Asus ROG Maximus X Code (LGA1151V2, Z370, DDR4, USB3.1, SATA3)','5300000'),
('Asus ROG Maximus XI Hero (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','5350000'),
('Asus ROG Maximus X Hero (WI-FI AC) (LGA1151V2, Z370, DDR4, USB3.1, SATA3)','5695000'),
('Asus ROG Maximus XI Hero (WI-FI) (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','5700000'),
('Asus ROG Maximus X FORMULA (LGA1151V2, Z370, DDR4, USB3.1, SATA3)','5800000'),
('Asus ROG Maximus XI Code (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','5850000'),
('Asus ROG Maximus XI APEX (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','6500000'),
('Asus ROG Maximus XI Formula (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','7300000'),
('Biostar H310MHD3 (LGA1151V2, H310, DDR3, USB3.1, SATA3)','744000'),
('Biostar H310MHP (LGA1151V2, Intel H310, USB3.1, DDR4)','802000'),
('Biostar H310MHC2 (LGA1151V2, Intel H310, USB3.1, DDR4)','816000'),
('Biostar H310MHD Pro (LGA1151V2, Intel H310, USB3.1, DDR4)','874000'),
('Biostar B365MHC (LGA1151V2, Intel B365, USB3.1, DDR4)','932000'),
('Biostar B360M-D2V (LGA1151V2, B360, DDR4, USB3.1, SATA3)','975000'),
('Biostar B360MHD Pro (LGA1151V2, Intel B360, USB3.1, DDR4)','1018000'),
('Biostar Racing B360GT3S (LGA1151V2, Intel B360, USB3.1, DDR4)','1392000'),
('Biostar Racing B360GT5S (LGA1151V2, Intel B360, USB3.1, DDR4)','1450000'),
('ECS H310H5-M2 (LGA1151V2, Intel H310, DDR4)','885000'),
('Gigabyte H310M-DS2 (LGA1151V2, H310, DDR4, USB3.1, SATA3)','920000'),
('Gigabyte H310M-H 2.0 (LGA1151V2, H310, DDR4, USB3.1, SATA3)','977000'),
('Gigabyte B360M H (LGA1151V2, B360, DDR4, USB3.1, SATA3)','1337000'),
('Gigabyte B365M H (LGA1151V2, B365, DDR4, USB3.1, SATA3)','1359000'),
('Gigabyte B360M DS3H (LGA1151V2, B360, DDR4, USB3.1, SATA3)','1375000'),
('Gigabyte B365M-DS3H (LGA1151V2, B365, DDR4, USB3.1, SATA3)','1430000'),
('Gigabyte B365M Aorus Elite (LGA1151V2, B365, DDR4, USB3.1, SATA3)','1675000'),
('Gigabyte B360M Aorus Pro (LGA1151V2, B365, DDR4, USB3.1, SATA3)','1785000'),
('Gigabyte B360 Aorus Gaming 3 (LGA1151V2, B360, DDR4, USB3.1, SATA3)','1989000'),
('Gigabyte B360N Wifi (LGA1151V2, B360, DDR4, USB3.1, SATA3)','1999000'),
('Gigabyte B360 Aorus Gaming 3 WIFI (LGA1151V2, B360, DDR4, USB3.1, SATA3)','2159000'),
('Gigabyte Z390 M (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','2280000'),
('Gigabyte Z390 D (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','2310000'),
('Gigabyte Z390 UD (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','2390000'),
('Gigabyte Z390 Aorus Elite (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','3430000'),
('Gigabyte C246-WU4 (LGA1151V2, C246, DDR4)','3450000'),
('Gigabyte Z390 I Aorus Pro Wifi (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','3940000'),
('Gigabyte Z390 Aorus Ultra (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','4145000'),
('Gigabyte Z390 Aorus Master (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','4870000'),
('Gigabyte Z390 Designare (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','5690000'),
('Gigabyte Z390 Aorus Xtreme (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','8790000'),
('Gigabyte Z390 Aorus Xtreme Waterforce (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','13450000'),
('MAXSUN MS-H310M-VH Challenger Series (LGA1151V2, H310, DDR4, USB3, VGA+HDMI, Gigabit 1000 Mbps Gaming Network card)','895000'),
('MAXSUN MS-B360M Challenger Series (LGA1151V2, B360, DDR4, USB3, VGA+HDMI, 2xM.2, Gigabit 1000 Mbps Gaming Network card)','990000'),
('MAXSUN MS-iCraft Z370 Gaming (LGA1151V2, Z370, DDR4, USB3.1, SATA3)','2450000'),
('MSI H310M Pro-VH Plus (LGA1151V2, H310, DDR4, USB3.1, SATA3) (By WPG)','920000'),
('MSI H310M Pro-VD Plus (LGA1151V2, H310, DDR4, USB3.1, SATA3)','930000'),
('MSI H310M Pro-VDH Plus (LGA1151V2, H310, DDR4, USB3.1, SATA3)','975000'),
('MSI H310M Pro-M2 Plus (LGA1151V2, H310, DDR4, USB3.1, SATA3) (By WPG)','1040000'),
('MSI B360M Pro-VH (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1210000'),
('MSI B360M Pro-VD (LGA1151V2, B360, DDR4, USB3.1, SATA3)','1210000'),
('MSI B360M Pro-VDH (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1240000'),
('MSI B365M Pro-VDH (LGA1151V2, B365, DDR4, USB3.1, SATA3) (By WPG)','1249000'),
('MSI H310M Gaming Plus (LGA1151V2, H310, DDR4, USB3.1, SATA3) (By WPG)','1275000'),
('MSI H310M Gaming Arctic (LGA1151V2, H310, DDR4, USB3.1, SATA3) (By WPG)','1330000'),
('MSI B360-A Pro (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1370000'),
('MSI B360M Gaming Plus (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1445000'),
('MSI B360M Bazooka (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1445000'),
('MSI B360M Mortar (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1495000'),
('MSI MAG B365M Mortar (LGA1151V2, B365, DDR4, USB3.1, SATA3) (By WPG)','1499000'),
('MSI B360 Gaming Plus (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1665000'),
('MSI H310-A Pro (LGA1151V2, H310, DDR4, USB3.1, SATA3) (By WPG)','1675000'),
('MSI B360M Mortar Titanium (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1740000'),
('MSI H370M Bazooka (LGA1151V2, H370, DDR4, USB3.1, SATA3) (By WPG)','1749000'),
('MSI B360 Gaming Arctic (LGA1151V2, B360, DDR4, USB3.1, SATA3) (By WPG)','1925000'),
('MSI Z370-A PRO (LGA1151V2, Z370, DDR4, USB3.1, SATA3)','1990000'),
('MSI Z390-A Pro (LGA1151V2, Z390, DDR4, USB3.1, SATA3) (By WPG)','2170000'),
('MSI MAG Z390M Mortar (LGA1151V2, Z390, DDR4, USB3.1, SATA3)','2300000'),
('MSI MPG Z390 Gaming Plus (LGA1151V2, Z390, DDR4, USB3.1, SATA3) (By WPG)','3020000'),
('MSI MAG Z390 Tomahawk (LGA1151V2, Z390, DDR4, USB3.1, SATA3) (By WPG)','3190000'),
('MSI MPG Z390 Gaming Pro Carbon (LGA1151V2, Z390, DDR4, USB3.1, SATA3) (By WPG)','3930000'),
('MSI MEG Z390 ACE (LGA1151V2, Z390, DDR4, USB3.1, SATA3) (By WPG)','4850000'),
('MSI MEG Z390 Godlike (LGA1151V2, Z390, DDR4, USB3.1, SATA3) (By WPG)','9899000'),
('Supermicro C7B360-CB-M-O (LGA1151V2, B360, DDR4, USB3.1, SATA3)','999000'),
('Supermicro C7Z370-CG-L-O (LGA1151V2, Z370, DDR4, USB3.1) By AAA','1499000');
